,question,translated_question
1169,C'est quoi les premières symptômes de Coronavirus ?,What are the first symptoms of Coronavirus?
1171,Est-ce qu’il va y avoir des examens du ministère en secondaire 4?,Are there going to be Secondary 4 ministry exams?
1174,Combien de temps peut survivre le virus selon les types de surfaces ?,How long can the virus survive depending on the type of surface?
1175,Combien de temps le virus reste-t-il actif dans l’air ?,How long does the virus stay active in the air?
1176,Quand devrais-je me faire dépister? ,When should I get tested? 
1177,Quels sont les symptômes du Coronavirus?,What are the symptoms of Coronavirus?
1181,quels sont les symptomes,What are the symptoms
1182,"Si je suis négatif au test de dépistage, puis-je aller visiter mes parents de plus de 70 ans ?","If I test negative, can I visit my parents over 70?"
1184,Pourquoi il y a plus de gens qui quittent l'hôpital en corbillards qu'en taxis selon vos statistiques? ,Why are there more people who leave the hospital in hearses than in taxis according to your statistics? 
1187,Où puis-je aller me faire tester ?,Where can I go to get tested?
1189,Est-ce qu'on peut avoir le COVID-19 sans faire de la fièvre,Can you have COVID-19 without having a fever
1190,"Si j'ai des blessures sur mes mains, suis-je plus a risque de contracter le virus?","If I have injuries on my hands, am I more at risk of getting the virus?"
1191,La période de déménagements approche. Y a-t-il des risques de propagation par les objets qui se déplaceront d'un endroit à un autre ?,The moving period is approaching. Is there a risk of spread by objects that will move from one place to another?
1195,Comment se propage le virus?,How is the virus spread?
1197,Nous attendons la fonte des neiges pour travailler dans le potager et sur le terrain. Est-ce que mes parents de plus de 70 ans pourront venir dans notre jardins en sécurité ?,We are waiting for the snow to melt to work in the vegetable patch and in the field. Will my parents over 70 years old be able to come to our gardens safely?
1198,Avez-vous eu des contacts avec quelqu'un qui est revenu de l'étranger?,Have you had contact with someone who has returned from abroad?
1204,"Si je suis immuno-supprimé et que je commence à avoir des symptômes, dois-je vraiment passer par la logistique téléphonique ? Ou vais-je plutôt à l’urgence tout de suite. ","If I am immunosuppressed and I start to have symptoms, do I really have to go through the telephone logistics? Or do I go to the emergency room right away."
1206,Est-ce que ce virus a muté depuis qu’on l’a découvert ,Has this virus mutated since it was discovered 
1207,Est-ce que le savon peut garder le virus de la COVID-19 en surface?,Can soap keep the COVID-19 virus on the surface?
1208,Pourrait-on donner par région le nombre d’hospitalisations lié au Covid-19 en soins intensifs et en soins curatifs comparé au nombre de testés positifs à la maison?,Could we give by region the number of hospitalizations linked to Covid-19 in intensive care and curative care compared to the number of positive tested at home?
1211,Combien de temps sommes-nous contagieux?,How long are we contagious?
1213,Que faire si je pense avoir le virus,What to do if I think I have the virus
1215,Je tousse depuis 2 semaines est-ce normal?,I have been coughing for 2 weeks is this normal?
1217,est-ce que je peux passer le test du COVID même si je n'ai pas de symptômes?,can i take the COVID test even if i have no symptoms?
1218,Quelle est la durée des symptômes?,How long do the symptoms last?
1219,"Je n'ai aucune restriction de quarantaine, est-ce que je peux avoir des contacts avec d'autres personnes qui n'ont aucune restriction aussi?","I have no quarantine restrictions, can I have contact with other people who have no restrictions too?"
1220,Est-ce que la Covid 19 est mortelle?,Is the Covid 19 deadly?
1222,Quel est le degré de contagion du virus présentement au Québec?,What is the level of contagion of the virus presently in Quebec?
1225,"J’ai vraiment peur d’infecter des gens, j’aimerais savoir si j’ai le virus. Puis-je faire le test ? Et quand je l’aurai fait, il sera bon combien de temps?","I'm really afraid of infecting people, I would like to know if I have the virus. Can I take the test? And when I do, how long will it be good?"
1226,Le sms d'urgence devrait être utilier par nos dirigeants.,Emergency sms should be used by our leaders.
1227,Combien de temps est-ce que le Covid survit sur les vêtements?,How long does the Covid survive on clothing?
1228,Que faire si j’ai des symptômes?,What if I have symptoms?
1229,"Si je vais dehors et qu’il vente très fort, est e que le virus peut partir au vent ou bien il entre plus profond dans mes vêtement ou ma peau?","If I go outside and it sells very hard, is it possible that the virus can go to the wind or it goes deeper in my clothes or my skin?"
1230,"Si j'ai les symptômes d'un rhume, puis-je simplement me mettre en isolement sans me faire dépister ?","If I have the symptoms of a cold, can I just go into isolation without getting tested?"
1233,"Est-ce qu’une infection comme une conjonctive, un orgelet un chalazion  ont un lien avec le COVID-19?","Does an infection like a conjunctiva, a stye or a chalazion have a link with COVID-19?"
1234,Peut on penser qu’on verra la fin du confinement seulement lorsqu’un médicament ou un vaccin sera disponible?,Can we think that we will see the end of confinement only when a drug or vaccine is available?
1235,Puis je consommer des advils si je crois avoir le virus,Can I use advils if I think I have the virus
1242,Pendant combien de temps durera l'épidémie du COVID-19?,How long will the COVID-19 epidemic last?
1244,Combien de temps le virus reste sur notre peau?,How long does the virus stay on our skin?
1245,Combien de mort y a t'il au Québec présentement ?,How many deaths are there in Quebec right now?
1247,Le gouvernement prévoit-il de l'aide financière pour les travailleurs autonomes?,Does the government provide financial assistance for the self-employed?
1248,ai-je le droit d'aller jouer au parc?,am i allowed to go play at the park?
1250,Combien de temps le vitus vie sur les surfaces ? ,How long does vitus live on surfaces? 
1251,"Si j’ai eu le virus et que j’en guérie, suis-je immunisé?","If I have had the virus and am cured of it, am I immune?"
1252,Où passer un test de dépistage?,Where to take a screening test?
1253,comment est-ce que les garderies en milieu familial non subventionnée seront payée?,how will unsubsidized family child care be paid for?
1254,Peut-on manger des légumes et fruits crus ?,Can we eat raw vegetables and fruits?
1255,Est-ce que les enfants peuvent attrapé le covid19 ?,Can children get covid19?
1256,Est-ce que mes enfants peuvent venir me visiter chez moi?,Can my children come to visit me at home?
1257,Puis je rester à mon balcon?,Can I stay on my balcony?
1259,Dans combien de temps prévoyez vous que la situation redeviendra normale?,How soon will you expect the situation to return to normal?
1260,Les légumes et fruits non emballés dans les épiceries peuvent t'ils être une source de propagation du virus? Quelles sont les mesures à prendre si nous en achetons? ,Can unpackaged vegetables and fruit in grocery stores be a source of spread of the virus? What steps should we take if we buy them?
1261,Pouvons nous sortir courir ou vaut il mieux rester à la maison?,Can we go out for a run or is it better to stay at home?
1263,Quand dois je mettre un masque ? ,When should I put on a mask? 
1266,"Mon conjoint est un cas confirmé, est-ce que je dois appeler immédiatement le 1","My spouse is a confirmed case, should I call 1 immediately"
1268,c quoi le corona vérus,what is the corona verus
1269,dois je me présenter à l’urgence si j’ai des symptômes de rhume et de la fièvre ?,do I have to go to the emergency room if I have cold and fever symptoms?
1271,Est-ce que je pourrai voyager bientôt,Will i be able to travel soon
1273,Comment puis-je prévenir la contraction du virus,How can I prevent the virus from contracting
1274,Sommes nous immunisé au Covid-19 si nous l'avons déjà attrapé?,Are we immune to Covid-19 if we have already caught it?
1277,"Si je suis allée en massothérapie et que mon thérapeute est porteur du virus mais qu’il n’a pas de symptômes, quel est mon risque que je développe le virus?","If I went to massage therapy and my therapist is carrying the virus but he has no symptoms, what is my risk that I develop the virus?"
1279,Est il toujours souhaitable de sortir marcher pour faire de l'exercice?,Is it always a good idea to go out for exercise?
1280,"Quand nous recevons une livraison d’épicerie, que devons-nous faire pour désinfecter les emballages de viandes?","When we receive a grocery delivery, what should we do to disinfect the meat packaging?"
1281,Est-ce qu'on peut attraper le virus en mangeant des fruits achetés à l'épicerie ?,Can you catch the virus by eating fruit bought at the grocery store?
1283,Combien de temps va durer la quarantaine ,How long will quarantine
1284,Comment savoir si j’ai eu le virus et que j’en suis guérie si je n’ai pas eu ou pas beaucoup eu de symptômes?,How do I know if I have had the virus and am cured of it if I have not had or have not had many symptoms?
